action,symbol,price,timestamp
buy,BTC/USDT,64109.99,2024-08-25 15:50:00
sell,BTC/USDT,94155.97,Mon Feb 24 21:29:26 2025
buy,BTC/USDT,64166.99,2024-08-25 18:55:00
sell,BTC/USDT,64090.93,2024-08-26 03:25:00
buy,BTC/USDT,57615.85,2024-09-10 22:00:00
sell,BTC/USDT,94560.0,Mon Feb 24 21:49:49 2025
buy,BTC/USDT,60046.0,2024-09-14 06:00:00
sell,BTC/USDT,94395.0,Mon Feb 24 21:50:52 2025
buy,BTC/USDT,63151.98,2024-09-21 12:00:00
sell,BTC/USDT,94381.89,Mon Feb 24 21:51:54 2025
buy,BTC/USDT,65516.0,2024-09-28 16:00:00
sell,BTC/USDT,63910.12,2024-10-01 10:00:00
buy,BTC/USDT,63991.89,2024-10-07 14:00:00
buy,BTC/USDT,94039.96,Mon Feb 24 22:20:28 2025
